User_ID,Country,Age,Gender,Subscription_Status
eb4f9229-74df-45f6-baac-cf19241b8b30,Sudan,56,Female,Premium
661d4b59-4328-410a-901c-1e3b4c40c334,Cuba,52,Male,Premium
dd3fe9e9-ea82-4891-ab93-8a47c80e3251,Japan,14,Female,Premium
a1b3365b-1d00-4ddf-bc43-02fc9c10c680,Lao People's Democratic Republic,36,Male,Premium
338d3f91-5f1c-4590-8803-324901826406,Bangladesh,31,Male,Premium
076b03f1-fd5b-4abe-b22e-cf3b4fdad381,Tokelau,53,Male,Premium
91d4aa91-da98-4ced-851d-c5c0194c63c4,Guyana,10,Female,Free
e707ea19-8d7e-476e-9bf8-c379f01f79da,Guinea,28,Female,Free
063c3c57-ea7e-42d2-ba7c-f0d35896e2da,Palau,41,Male,Premium
b82ccd39-0040-4be9-a969-78b40d4c0c97,Ecuador,40,Male,Free
fe6d5e8e-322f-479c-8589-89b6ad16d3c4,Iceland,56,Male,Premium
06d62f0f-0a02-4fdf-9265-4929e04195a6,Colombia,58,Female,Free
9889854c-128c-4df5-93ca-f1a158a72590,Dominican Republic,66,Male,Free
8e1009be-0392-42dc-a155-44357c10aa43,Georgia,57,Male,Free
383b47f5-10f9-48b3-bf77-314251e75a11,Malaysia,43,Female,Free
b2692d21-6164-4fa8-bf2a-72537380e46a,Togo,67,Male,Free
26aa455e-a7f0-4f85-b7e5-e85af18bca3a,Iran,46,Male,Free
58cc2409-e8d8-4221-b313-125b277741aa,Estonia,27,Female,Premium
aa08b476-c42a-4323-8357-a027caaaaca2,Korea,62,Male,Premium
91da06f5-8529-47d0-8317-fd7a79dae826,Lebanon,42,Female,Premium
d1c113dc-cee2-4c56-ae62-ab274b4fd866,Trinidad and Tobago,24,Female,Free
b2b81237-52e5-400a-a5f8-2bdb77b0d75e,Saint Vincent and the Grenadines,64,Male,Premium
08787fd5-e84f-4008-b57c-00e4a1099f69,Belarus,68,Female,Free
c60fef9f-b84f-43fd-be6f-1b8b63a016d7,Northern Mariana Islands,56,Female,Free
bcbcf395-228a-49c2-bcfc-ec544ce5ddf4,Jersey,66,Male,Premium
f61990bf-2466-439e-bf98-5ee3af5ecfc5,Niue,41,Female,Free
20c0b7a3-2051-4b7d-9c42-fd924069bbc6,Lesotho,60,Male,Premium
0fddc85a-b03e-48e5-a283-f35416ed5ddf,Anguilla,37,Female,Free
9fb0fd9e-5aae-41e7-8d1b-03fa59bbfc27,Romania,58,Male,Premium
8b7c6411-841a-440e-9d83-0e27511bb2c5,Uganda,45,Female,Premium
3295f854-c5df-4c21-bb76-82be76d395f5,Comoros,26,Male,Free
06135006-df65-42b3-aa74-4551dda9d970,Austria,18,Male,Free
420c3dcd-efaa-4a65-bef9-ae5b4bda4e7a,Austria,15,Male,Premium
8994f7ae-93ab-4bf4-b356-59388c50c21a,Paraguay,25,Male,Free
dc262390-19fe-4bc9-bc28-6f92ca28281b,Angola,68,Male,Premium
7312a761-7753-4ccd-9298-8630f36cbcff,Philippines,43,Female,Premium
407911ee-f9a5-4fe4-a0a5-2a49b3cd8d5f,Cambodia,15,Male,Free
b90a0d55-0762-4f2e-aa32-8ffdf3692f50,Benin,66,Female,Premium
3ef39223-d8d2-4677-b80b-4b27aa9bee8d,Yemen,32,Female,Premium
78d2b79b-2d73-48f1-94ac-6ec417a7b963,Luxembourg,54,Male,Premium
65b8a4b1-eb9b-48d8-957d-1e96ad81f984,Iran,31,Male,Premium
be093016-88c4-4006-a7f1-35231e930ea6,Malawi,37,Female,Premium
a84484f5-bc08-47d6-8120-99c76b14da3e,Heard Island and McDonald Islands,14,Female,Premium
e4487fa5-29eb-4b6a-89f9-72ae7a8a4b9e,Wallis and Futuna,17,Male,Free
e36081e0-edc1-4729-a7bd-8eca3ba0ca9c,Macao,22,Female,Premium
11897f3c-658c-4c84-8831-2b76aff58a06,Honduras,41,Female,Premium
64e7b633-4246-4d90-b380-d048b42d7e71,Liechtenstein,18,Female,Premium
45a89081-9831-481d-81df-364c2ffe08db,Uruguay,34,Female,Premium
a74b6bde-5839-41f4-8892-7c28efbc3121,Cameroon,53,Female,Premium
6883be0c-cf53-4675-ba0c-153f9c062d51,Cape Verde,39,Male,Premium
9d1d9998-a442-4234-9c4c-ab52c08b311b,San Marino,59,Male,Free
126c28c2-746a-4ee2-b313-83f62e30273c,Korea,56,Male,Premium
cbc31ff7-df68-44e1-82e5-6f3cfde2f9c9,Guadeloupe,38,Male,Premium
712df1e5-99e1-4e8a-8332-a6b98d6605e1,Cambodia,59,Female,Premium
8b25484f-7131-4c06-97d1-b28956323ee4,Dominica,44,Male,Free
97d9fdf4-49fc-49a3-a9a1-a10a050fd443,Egypt,68,Female,Premium
14abe0ec-940b-4bd3-b070-dd88372f7eed,Jamaica,54,Female,Premium
497c4301-6b17-429d-9e6f-16dd74cb3f8b,Portugal,28,Female,Free
2dd8157a-0401-4123-ad59-bdbbb135f9cb,Honduras,15,Female,Premium
6afe5fb8-fd61-4e05-9b5f-b813e91529d9,French Polynesia,61,Female,Premium
91556403-edcf-4347-a38e-8e14fb57fd79,Gambia,68,Male,Free
58e6cb9c-db1a-4301-b0dc-0b7c16355bc2,Guyana,46,Female,Free
fa456dc3-760a-47da-933a-66f0803e2108,French Polynesia,51,Female,Free
5ac51d32-b429-4ea6-baf4-681949c2b0cd,Niger,60,Male,Premium
df0410d9-4b09-44b4-ad75-192dd1698320,Fiji,64,Female,Premium
73614bb2-4a02-4dd5-88d5-2ca9e7f0008a,United States Virgin Islands,33,Male,Premium
eaa0e7d4-f48c-4218-8918-998391c80e82,Fiji,26,Female,Free
c93302a3-62f0-459b-87f3-7b2aa98fb368,Aruba,12,Female,Premium
f227a6a4-09c9-431f-8696-99258ee7264e,French Southern Territories,28,Male,Free
8999b8c1-6188-4ccb-b2e7-f2a0786ca909,China,70,Male,Premium
eb72044e-b7e2-4a64-82a0-e1a9f65575ac,Aruba,65,Male,Premium
a32ceedf-9b68-452c-a3d1-514220f9f03a,China,45,Female,Free
4a6107fa-2e8a-49b1-8898-00a2402db813,Portugal,63,Female,Free
1282cfa5-4e0a-44a8-888a-f458f08d38d9,Cape Verde,29,Male,Free
a632dca5-b486-4232-bb85-d7d70a86ad4c,Sweden,51,Male,Premium
